t1,t2
1620370580:916722309,1620370580:916724343
1620370581:916780089,1620370581:916782118
1620370582:916909349,1620370582:916911396
1620370583:916813269,1620370583:916815308
1620370584:916785789,1620370584:916787820
1620370585:917285189,1620370585:917287233
1620370586:916769709,1620370586:916771736
1620370587:916862149,1620370587:916864173
1620370588:916833849,1620370588:916835881
1620370589:916861009,1620370589:916863048
1620370590:916861209,1620370590:916863253
1620370591:916906069,1620370591:916908103
1620370592:916900609,1620370592:916902647
1620370593:916860089,1620370593:916862112
1620370594:916897309,1620370594:916899348
1620370595:916908829,1620370595:916910863
1620370596:917079749,1620370596:917081792
1620370597:916894209,1620370597:916896233
1620370598:916749269,1620370598:916751323
1620370599:916944509,1620370599:916946561
1620370600:916911909,1620370600:916913972
1620370601:916950169,1620370601:916952237
1620370602:917041549,1620370602:917043616
1620370603:916927989,1620370603:916930077
1620370604:916940749,1620370604:916942817
1620370605:916980629,1620370605:916982712
1620370606:916999289,1620370606:917001351
1620370607:916965369,1620370607:916967455
1620370608:917204629,1620370608:917206712
1620370609:917054669,1620370609:917056731
1620370610:917294149,1620370610:917296212
1620370611:917012889,1620370611:917014945
1620370612:917014109,1620370612:917016168
1620370613:917107969,1620370613:917109990
1620370614:917064609,1620370614:917066646
1620370615:917068769,1620370615:917070813
1620370616:917096449,1620370616:917098496
1620370617:917092369,1620370617:917094420
1620370618:917087289,1620370618:917089345
1620370619:917130569,1620370619:917132606
1620370620:917086289,1620370620:917088338
1620370621:917114629,1620370621:917116653
1620370622:917158029,1620370622:917160061
1620370623:917175389,1620370623:917177415
1620370624:917123509,1620370624:917125533
1620370625:917210389,1620370625:917212430
1620370626:917217069,1620370626:917219092
1620370627:917185909,1620370627:917187927
1620370628:917446489,1620370628:917448535
1620370629:917193389,1620370629:917195412
1620370630:917200149,1620370630:917202183
1620370631:917383269,1620370631:917385296
1620370632:917197589,1620370632:917199630
1620370633:917506649,1620370633:917508682
1620370634:917607529,1620370634:917609551
1620370635:918240969,1620370635:918243011
1620370636:918030709,1620370636:918032740
1620370637:918275549,1620370637:918277583
1620370638:918296909,1620370638:918298950
1620370639:918279889,1620370639:918281921
1620370640:918322209,1620370640:918324240
1620370641:918260049,1620370641:918262095
1620370642:918297949,1620370642:918300003
1620370643:918325829,1620370643:918327877
1620370644:918315689,1620370644:918317740
1620370645:918368349,1620370645:918370376
1620370646:918380129,1620370646:918382160
1620370647:918315549,1620370647:918317595
1620370648:918293869,1620370648:918295913
1620370649:918547009,1620370649:918549043
1620370650:919068869,1620370650:919070908
1620370651:919434509,1620370651:919436538
1620370652:919472849,1620370652:919474895
1620370653:919543349,1620370653:919545380
1620370654:920568849,1620370654:920570883
1620370655:921537869,1620370655:921539907
1620370656:922438889,1620370656:922440913
1620370657:922517789,1620370657:922519801
1620370658:922568709,1620370658:922570720
1620370659:923565169,1620370659:923567162
1620370660:924563229,1620370660:924565212
1620370661:925537549,1620370661:925539526
1620370662:926574569,1620370662:926576547
1620370663:926858029,1620370663:926860002
1620370664:926650269,1620370664:926652260
1620370665:926624329,1620370665:926626307
1620370666:927499909,1620370666:927501907
1620370667:927537649,1620370667:927539628
1620370668:927659989,1620370668:927661993
1620370669:927668729,1620370669:927670723
1620370670:927743149,1620370670:927745156
1620370671:927668869,1620370671:927670873
1620370672:927698309,1620370672:927700313
1620370673:927691309,1620370673:927693313
1620370674:927694049,1620370674:927696063
1620370675:927771429,1620370675:927773440
1620370676:927758109,1620370676:927760126
1620370677:927745669,1620370677:927747683
1620370678:927748109,1620370678:927750138
1620370679:927952809,1620370679:927954831
1620370680:927779249,1620370680:927781277
1620370681:927793569,1620370681:927795575
1620370682:927788309,1620370682:927790323
1620370683:928067989,1620370683:928069986
1620370684:928055749,1620370684:928057733
1620370685:927973709,1620370685:927975696
1620370686:928462329,1620370686:928464307
1620370687:927832509,1620370687:927834497
1620370688:927892529,1620370688:927894506
1620370689:927835449,1620370689:927837431
1620370690:928159469,1620370690:928161452
1620370691:928395049,1620370691:928397048
1620370692:928148169,1620370692:928150161
1620370693:927888109,1620370693:927890125
1620370694:927925829,1620370694:927927840
1620370695:927870329,1620370695:927872338
1620370696:927891069,1620370696:927893075
1620370697:927930049,1620370697:927932065
1620370698:927958629,1620370698:927960637
1620370699:927973309,1620370699:927975331
1620370700:927907689,1620370700:927909685
1620370701:927945249,1620370701:927947248
1620370702:927913309,1620370702:927915313
1620370703:927932709,1620370703:927934728
1620370704:927933089,1620370704:927935105
1620370705:928195949,1620370705:928197931
1620370706:928008449,1620370706:928010448
1620370707:927966809,1620370707:927968790
1620370708:928364529,1620370708:928366907
1620370709:927729889,1620370709:927732731
1620370710:928028729,1620370710:928032033
1620370711:928038009,1620370711:928041758
1620370712:927942309,1620370712:927946516
1620370713:928032529,1620370713:928036810
1620370714:928071189,1620370714:928075481
1620370715:928365509,1620370715:928369820
1620370716:928061129,1620370716:928065457
1620370717:928071949,1620370717:928076281
1620370718:928081269,1620370718:928085605
1620370719:928318769,1620370719:928323070
1620370720:928041869,1620370720:928046150
1620370721:928106009,1620370721:928110258
1620370722:928115449,1620370722:928119637
1620370723:928271189,1620370723:928275316
1620370724:927697269,1620370724:927701342
1620370725:928102669,1620370725:928106658
1620370726:928187229,1620370726:928191160
1620370727:928127169,1620370727:928130995
1620370728:928162689,1620370728:928166422
1620370729:928173769,1620370729:928177410
1620370730:928134369,1620370730:928137882
1620370731:927590609,1620370731:927594020
1620370732:928070569,1620370732:928073850
1620370733:928197409,1620370733:928200531
1620370734:928094289,1620370734:928097251
1620370735:928082949,1620370735:928085755
1620370736:928136889,1620370736:928139508
1620370737:928107669,1620370737:928110118
1620370738:928134749,1620370738:928136986
1620370739:928080669,1620370739:928082702
1620370740:928198829,1620370740:928200642
1620370741:928041189,1620370741:928042760
1620370742:927784929,1620370742:927786226
1620370743:927837489,1620370743:927838541
1620370744:927922269,1620370744:927923245
1620370745:927816989,1620370745:927817993
1620370746:928277109,1620370746:928278188
1620370747:928232769,1620370747:928233918
1620370748:928220909,1620370748:928222067
1620370749:928214209,1620370749:928215330
1620370750:928207229,1620370750:928208292
1620370751:928205749,1620370751:928206762
1620370752:928193669,1620370752:928194653
1620370753:928207269,1620370753:928208298
1620370754:928290869,1620370754:928291940
1620370755:928286469,1620370755:928287593
1620370756:928278049,1620370756:928279187
1620370757:928332689,1620370757:928333796
1620370758:927654589,1620370758:927655650
1620370759:928288269,1620370759:928289308
1620370760:928376229,1620370760:928377268
1620370761:928072449,1620370761:928073503
1620370762:928268209,1620370762:928269253
1620370763:928071349,1620370763:928072408
1620370764:928383929,1620370764:928385006
1620370765:928371909,1620370765:928372998
1620370766:927670989,1620370766:927672067
1620370767:928382489,1620370767:928383566
1620370768:928384089,1620370768:928385162
1620370769:928451529,1620370769:928452592
1620370770:928407109,1620370770:928408155
1620370771:928393029,1620370771:928394068
1620370772:927680589,1620370772:927681653
1620370773:928377749,1620370773:928378821
1620370774:928474729,1620370774:928475807
1620370775:928522609,1620370775:928523688
1620370776:929491849,1620370776:929492922
1620370777:929561709,1620370777:929562757
1620370778:930566189,1620370778:930567236
1620370779:930646909,1620370779:930647966
1620370780:930933329,1620370780:930934397
1620370781:931551669,1620370781:931552732
1620370782:931682169,1620370782:931683216
1620370783:931645249,1620370783:931646301
1620370784:931591249,1620370784:931592281
1620370785:932540169,1620370785:932541226
1620370786:932725469,1620370786:932726533
1620370787:932758829,1620370787:932759902
1620370788:932599009,1620370788:932600121
1620370789:932917409,1620370789:932918493
1620370790:933308129,1620370790:933309222
1620370791:932658449,1620370791:932659545
1620370792:933209029,1620370792:933210112
1620370793:933567889,1620370793:933568980
1620370794:933657229,1620370794:933658317
1620370795:933676809,1620370795:933677912
1620370796:933699209,1620370796:933700333
1620370797:933732029,1620370797:933733140
1620370798:933663109,1620370798:933664230
1620370799:933661929,1620370799:933663031
1620370800:933703169,1620370800:933704278
1620370801:933750369,1620370801:933751496
1620370802:934082289,1620370802:934083411
1620370803:933802469,1620370803:933803602
1620370804:933735109,1620370804:933736216
1620370805:933749009,1620370805:933750113
1620370806:933669089,1620370806:933670195
1620370807:933997369,1620370807:933998480
1620370808:933806469,1620370808:933807582
1620370809:933804349,1620370809:933805468
1620370810:933836909,1620370810:933838015
1620370811:933853349,1620370811:933854452
1620370812:933801829,1620370812:933802930
1620370813:933760049,1620370813:933761167
1620370814:934190169,1620370814:934191268
