t1,t2
1625002881.146115021,1625002881.146115237
1625002882.146157961,1625002882.146158183
1625002883.146489181,1625002883.146489384
1625002884.146124801,1625002884.146125033
1625002885.146241101,1625002885.146241312
1625002886.146263601,1625002886.146263827
1625002887.146493681,1625002887.146493903
1625002888.146239381,1625002888.146239601
1625002889.146377061,1625002889.146377286
1625002890.146320381,1625002890.146320576
1625002891.146277301,1625002891.146277522
1625002892.146316741,1625002892.146316954
1625002893.146658721,1625002893.146658933
1625002894.147392741,1625002894.147392957
1625002895.147328861,1625002895.147329057
1625002896.147275061,1625002896.147275272
1625002897.147418001,1625002897.147418223
1625002898.147367641,1625002898.147367852
1625002899.147499621,1625002899.147499837
1625002900.147452661,1625002900.147452853
1625002901.147522441,1625002901.147522659
1625002902.147451121,1625002902.147451328
1625002903.147499161,1625002903.147499363
1625002904.147446781,1625002904.147446996
1625002905.146865481,1625002905.146865699
1625002906.147525881,1625002906.147526087
1625002907.147568781,1625002907.147568997
1625002908.147644021,1625002908.147644223
1625002909.148646321,1625002909.148646544
1625002910.149662421,1625002910.149662614
1625002911.150599441,1625002911.150599658
1625002912.150650121,1625002912.150650332
1625002913.150857421,1625002913.150857636
1625002914.151631321,1625002914.151631527
1625002915.151744521,1625002915.151744744
1625002916.151691181,1625002916.151691393
1625002917.151850221,1625002917.151850443
1625002918.151880201,1625002918.151880418
1625002919.151816801,1625002919.151817016
1625002920.151730021,1625002920.151730222
1625002921.151811261,1625002921.151811476
1625002922.152163541,1625002922.152163751
1625002923.151797781,1625002923.151797996
1625002924.151742681,1625002924.151742888
1625002925.151902161,1625002925.151902378
1625002926.152140721,1625002926.152140936
1625002927.152089521,1625002927.152089737
1625002928.151836101,1625002928.151836318
1625002929.151908021,1625002929.151908236
1625002930.151926601,1625002930.151926823
